Class ID;Definitions;database_cross_reference;functionally related to
http://purl.obolibrary.org/obo/PO_0005031;A strobilus (PO:0025083) that bears only pollen (PO:0025281).;;
http://purl.obolibrary.org/obo/PO_0007603;A collective phyllome structure development stage (PO:0025578) that has as a primary participant a calyx (PO:0009060).;;
http://purl.obolibrary.org/obo/PO_0001007;A microgametophyte development stage (PO:0025602) during which the pollen (PO:0025281) develops.;;
http://purl.obolibrary.org/obo/PO_0025551;A portion of plant tissue (PO:0009007) that is the apical most portion of a multicellular trichome (PO:0025162).|This term describes the apex region of a multicellular trichome (PO:0000282).  The apex of a unicellular trichome is a GO cellular component: unicellular trichome apex (GO:0090552).;;
http://purl.obolibrary.org/obo/PO_0007028;The flag leaf sheath starts opening.|Booting is a term used specifically for grasses (Poaceae).;;
http://purl.obolibrary.org/obo/PO_0007051;Booting has just begun.|Booting is a term used specifically for grasses (Poaceae).;;
http://purl.obolibrary.org/obo/PO_0007013;The flag leaf sheath swollen.|In rice the flag leaf sheath is more than 10cm out of the penultimate leaf sheath. Booting is a term used specifically for grasses (Poaceae).;;
http://purl.obolibrary.org/obo/PO_0001058;Stage of palea development that begins when the palea primordia arise.|The palea primordium forms in 1/2 alternate phylotaxy in rice spikelet.;;
http://purl.obolibrary.org/obo/BFO_0000141;;;
http://purl.obolibrary.org/obo/PO_0025594;A portion of meristem tissue (PO:0009013) that gives rise to a portion of ground tissue (PO:0025059).;;
http://purl.obolibrary.org/obo/PO_0007623;The stage of megagametophyte development when the megaspore mother cell enlarges.;;
http://purl.obolibrary.org/obo/PO_0001036;Stage during which the senescence of anther and stamen occurs. Shrinkage of cells and anther structure takes place.;;
http://purl.obolibrary.org/obo/PO_0007608;Stage of corolla development that begins when the petal or petal-stamen primordia arise.;;
http://purl.obolibrary.org/obo/PO_0007624;The stage of megagametophyte development when the megaspore mother cell undergoes meiosis.;;
http://purl.obolibrary.org/obo/NCBITaxon_1;;;
http://purl.obolibrary.org/obo/PO_0001044;Stage of calyx development defined by differentiation and expansion of sepal.;;
http://purl.obolibrary.org/obo/PO_0025618;A portion of carpel epidermis (PO:0025096) that covers the adaxial surface of a carpel (PO:0009030).|The adaxial surface is the one which is closest to the plant axis.;;
http://purl.obolibrary.org/obo/PO_0007517;The stage at which the lateral root emerges.|Starch grains can be seen in the root cap after emergence.;;
http://purl.obolibrary.org/obo/GO_0003824;;;
http://purl.obolibrary.org/obo/PO_0025619;A cardinal organ part (PO:0025001) that is the edge of a laminar portion of a leaf sheath (PO:0020104) and the area immediately internally adjacent to it.;;
http://purl.obolibrary.org/obo/PO_0001006;Stage during which the microsporocytes become conspicuous.;;
http://purl.obolibrary.org/obo/PO_0005030;A glandular trichome (PO:0004509) that synthesizes terpenophenolic resins and prenylflavonoids.|One of the major chalconoids from hops is xanthohumol (CHEBI:66331).;;
http://purl.obolibrary.org/obo/PO_0001079;Stage of lodicule development when lodicule is fully expanded.;;
http://purl.obolibrary.org/obo/PO_0007034;The stage at which 1/4 of flowers open.|This stage refers to the whole plant.;;
http://purl.obolibrary.org/obo/PO_0007134;A sporophyte development stage (PO:0028002) that occurs during the interval between the first division of a plant zygote (PO:0000423) and the formation of a sporangium (PO:0025094).|Succeeds a plant zygote stage (PO:0001097). A sporophyte may begin to senesce or die from other causes before producing sporangia. Developmental vegetative growth (GO:0080186) can also occur during the reproductive stage.;;
http://purl.obolibrary.org/obo/PO_0025471;A cotyledon (PO:0020030) that is part of a whole plant (PO:0000003) in the seedling development stage (PO:0007131).|Develops from an embryo cotyledon (PO:0025470).;;
http://purl.obolibrary.org/obo/PO_0007628;The stage of megagametophyte development when there are four nuclei.;;
http://purl.obolibrary.org/obo/PO_0025571;A plant structure development stage (PO:0009012) that has as primary participant a multi-tissue plant structure (PO:0025496).;;
http://purl.obolibrary.org/obo/CARO_0000000;;;
http://purl.obolibrary.org/obo/PO_0004503;Epidermal cells at the top of developing style differentiate stigma.;;
http://purl.obolibrary.org/obo/PO_0025593;A shoot-borne root (PO:0000042) that arises from a shoot axis internode (PO:0005005).;;
http://purl.obolibrary.org/obo/PO_0007002;The stage at which 3/4 of inflorescence has emerged from flag leaf sheath.;;
http://purl.obolibrary.org/obo/PO_0025608;An abscission zone (PO:0000146) that forms as a swelling or joint on a flower pedicel (PO:0030113).;;
http://purl.obolibrary.org/obo/PO_0001057;Stage of lemma development when lemma is fully expanded.;;
http://purl.obolibrary.org/obo/PO_0001012;Stage of microgametophyte development during which the microspores round up and small vacuoles appear in their cytoplasm. The microspore walls thicken due to the formation of the exine.;;
http://purl.obolibrary.org/obo/PO_0007071;The stage at which main shoot and axillary shoots at two nodes are visible.|The axillary shoot can be a single shoot or a pair of axillary shoots at each node.;;
http://purl.obolibrary.org/obo/PO_0007501;The stage at which the root cap becomes evident.|The number and origin of root cap initials that form the root cap varies among species. The root cap initials become independent from the more internally located root meristem cells by an increase in the thickness of the cell wall that separates them.;;
http://purl.obolibrary.org/obo/PO_0025610;A portion of hypodermis (PO:0005051) that is part of a stem cortex (PO:0025612).;;
http://purl.obolibrary.org/obo/PO_0001019;A vascular leaf initiation stage (PO:0001051) during which a vascular leaf primordium (PO:0000017) forms in the peripheral zone (PO:0000225) of the vegetative shoot apical meristem (PO:0020148).|The vascular leaf primordium (PO:0000017) develops from the vascular leaf anlagen (PO:0025431).;;
http://purl.obolibrary.org/obo/PO_0007133;The stage at which the leaves produced by SAM are visible above the ground in a seedling or mature plant.|This stage is recommended over rosette growth or stem elongation as it is most easily observed and least ambiguous.;;
http://purl.obolibrary.org/obo/PO_0001070;Stage of palea development defined by differentiation and expansion of palea.;;
http://purl.obolibrary.org/obo/NCBITaxon_131221;;;
http://purl.obolibrary.org/obo/PO_0001042;Stage of endosperm development during which the functional specialization of the maturing endosperm occurs.;;
http://purl.obolibrary.org/obo/PO_0007607;Stage of calyx development that begins when the sepal primordia arise.;;
http://purl.obolibrary.org/obo/PO_0001011;An initial stage during which the archesporial cells divide to give rise to primary parietal and sporogenous cells.;;
http://purl.obolibrary.org/obo/NCBITaxon_58024;;;
http://purl.obolibrary.org/obo/PO_0025530;A shoot system development stage (PO:0025527) that has as primary participant a reproductive shoot system (PO:0025082).;;
http://purl.obolibrary.org/obo/PO_0004507;A plant embryo development stage (PO:0007631) that occurs during the interval between the transition from radial to bilateral symmetry in a plant embryo proper (PO:0000001) and the onset of either the plant embryo cotyledonary stage (PO:0001078) or the plant embryo coleoptilar stage (PO:0001094).|A plant embryo bilateral stage is commonly known as the heart stage in dicotyledonous plants and the transition stage in monocots. Preceded by a plant embryo globular stage (PO:0001185).;;
http://purl.obolibrary.org/obo/PO_0001005;An initial stage during which archesporial cells arise in four corners of L2 layer. Change in shape of primordia to more oval.;;
http://purl.obolibrary.org/obo/PO_0007613;Stage of androecium development that begins when the stamens or petal-stamen primordia arise.;;
http://purl.obolibrary.org/obo/NCBITaxon_58023;;;
http://purl.obolibrary.org/obo/PO_0025470;A cotyledon (PO:0020030) that is part of a plant embryo (PO:0009009).;;
http://purl.obolibrary.org/obo/PO_0007026;The stage at which the first flower(s) open.|These first flowers are not necessarily the oldest flowers in the inflorescence. In some cereal plants the flowering starts in the middle of the inflorescence. This stage refers to the whole plant.;;
http://purl.obolibrary.org/obo/PO_0001026;Stage during which the four clearly defined locules are established. All anther cell types present and microspore mother cells appear.;;
http://purl.obolibrary.org/obo/PO_0007519;The stage at which the root hairs becomes evident.;;
http://purl.obolibrary.org/obo/PO_0007627;The stage of megagametophyte development when there are two nuclei.;;
http://purl.obolibrary.org/obo/GO_0003674;;;
http://purl.obolibrary.org/obo/PO_0025591;A portion of cortex (PO:0005708) that is part of a receptacle (PO:0009064).;;
http://purl.obolibrary.org/obo/PO_0007612;Stage of corolla development when petal is fully expanded.;;
http://purl.obolibrary.org/obo/PO_0007605;A collective phyllome structure development stage (PO:0025578) that has as a primary participant an androecium (PO:0009061).;;
http://purl.obolibrary.org/obo/PO_0001009;Stage during which pollen mother cells undergo meiosis to form tetrads of microspores.;;
http://purl.obolibrary.org/obo/NCBITaxon_131567;;;
http://purl.obolibrary.org/obo/PO_0007505;The stage at which root primordium originates and develops at specific locations in embryonic and post embryonic roots.;;
http://purl.obolibrary.org/obo/PO_0007606;A collective phyllome structure development stage (PO:0025578) that has a primary participant a gynoecium (PO:0009062).;;
http://purl.obolibrary.org/obo/PO_0001010;Stage of microgametophyte development during which the callose wall between the tetrads breaks down and haploid microspores are released and lie freely in locules.;;
http://purl.obolibrary.org/obo/PO_0007506;The stage at which a group of cells or initials that will differentiate into the primary root become organized in the embryo .;;
http://purl.obolibrary.org/obo/PO_0025607;A shoot system (PO:0009006) that has as parts only vegetative tissues and organs.;;
http://purl.obolibrary.org/obo/PO_0001008;Stage during which diploid pollen mother cells become separated from each other and from tapetum by a callose wall.;;
http://purl.obolibrary.org/obo/PO_0007022;A seed germination stage (PO:0007057) during which there is absorption of water by the seed (PO:0009010).;;
http://purl.obolibrary.org/obo/PO_0005032;A strobilus (PO:0025083) that bears only plant ovules (PO:0020003).;;
http://purl.obolibrary.org/obo/PO_0001047;A phyllome development stage (PO:0025579) that has as a primary participant a lemma (PO:0009037).;;
http://purl.obolibrary.org/obo/PO_0001083;A reproductive shoot system development stage (PO:0025530) that has as primary participant a inflorescence (PO:0009049).;;
http://purl.obolibrary.org/obo/PO_0025589;A leaf tip (PO:0025142) that is the distal portion of the leaf lamina (PO:0020039).|This is the portion of the leaf lamina (PO:0020039) that is furthest away from the stem (PO:0009047).;;
http://purl.obolibrary.org/obo/PO_0004506;Stage of seed development characterized by seed growth and differentiation.;;
http://purl.obolibrary.org/obo/PO_0001077;Stage of lodicule development defined by differentiation and expansion of lodicule.;;
http://purl.obolibrary.org/obo/PO_0007052;The stage at which 3/4 of flowers open.|This stage refers to the whole plant.;;
http://purl.obolibrary.org/obo/PO_0007122;The stage at which main shoot and axillary shoots at seven nodes are visible.|The axillary shoot can be a single shoot or a pair of axillary shoots at each node.;;
http://purl.obolibrary.org/obo/PO_0007053;The stage at which 1/2 of flowers open.|This stage refers to the whole plant.;;
http://purl.obolibrary.org/obo/PO_0025597;An infructescence (PO:0006342) in Zea species that bears kernels (i.e. caryopsis fruit; PO:0030104) on a compact ear infructescence axis (PO:0025623) and develops from the ear inflorescence (PO:0020136).;;
http://purl.obolibrary.org/obo/PO_0007626;The stage of megagametophyte development when non-functional megaspores degenerate.|In some plants more than one megaspore contributes to the megametophyte.;;
http://purl.obolibrary.org/obo/GO_0016301;;;
http://purl.obolibrary.org/obo/PO_0001031;The stage at which a root is elongating.|In some plant species this stage is subdivided into distal and proximal elongating zones.;;
http://purl.obolibrary.org/obo/PO_0025595;A ground meristem (PO:0025594) that gives rise to a portion of ground tissue (PO:0025059) in the shoot system (PO:0009006).|The meristem L2 layer (PO:0009021) and meristem L3 layer (PO:0009021) of the are part of the shoot system ground meristem (PO:0025595).;;
http://purl.obolibrary.org/obo/PO_0007611;Stage of corolla development defined by differentiation and expansion of petal.;;
http://purl.obolibrary.org/obo/PO_0007088;The stage at which main shoot and axillary shoots at four nodes are visible.|The axillary shoot can be a single shoot or a pair of axillary shoots at each node.;;
http://purl.obolibrary.org/obo/PO_0007511;This stage at which the transverse divisions in pericycle cells form the initials of the lateral root primordium.;;
http://purl.obolibrary.org/obo/PO_0025596;A ground meristem (PO:0025594) that gives rise to a portion of ground tissue (PO:0025059) in the root system (PO:0025025).;;
http://purl.obolibrary.org/obo/PO_0007036;The stage at which fruit maturation begins.;;
http://purl.obolibrary.org/obo/PO_0025613;A petiole (PO:0020038) that is sclerified and persistent.|The petiole (PO:0020038) abcisses longitudinally and the leaf lamina (PO:0020039) withers.;;
http://purl.obolibrary.org/obo/PO_0001025;Stage during which the four-lobed anther pattern with two developing stomium regions (notch) are formed.;;
http://purl.obolibrary.org/obo/GO_0008150;;;
http://purl.obolibrary.org/obo/PO_0025614;A portion of plant tissue (PO:0009007) which is a small ball of cells born on a thallus (PO:0030027) and is involved in asexual reproduction.;;
http://purl.obolibrary.org/obo/PO_0007633;Stages of development of the endosperm.;;
